Hour,Region,GPU_Demand
103,RegionC,69
103,RegionD,118
103,RegionE,199
103,RegionF,88
104,RegionA,25
104,RegionB,22
104,RegionC,71
104,RegionD,276
104,RegionE,246
104,RegionF,197
105,RegionA,29
105,RegionB,49
105,RegionC,33
105,RegionD,97
105,RegionE,74
105,RegionF,224
106,RegionA,42
106,RegionB,38
106,RegionC,66
106,RegionD,0
106,RegionE,56
106,RegionF,0
107,RegionA,8
107,RegionB,90
107,RegionC,75
107,RegionD,26
107,RegionE,185
107,RegionF,206
108,RegionA,28
108,RegionB,147
108,RegionC,8
108,RegionD,37
108,RegionE,130
108,RegionF,183
109,RegionA,69
109,RegionB,37
109,RegionC,128
109,RegionD,307
109,RegionE,8
109,RegionF,384
110,RegionA,49
110,RegionB,4
110,RegionC,127
110,RegionD,419
110,RegionE,80
110,RegionF,55
111,RegionA,4
111,RegionB,76
111,RegionC,130
111,RegionD,212
111,RegionE,6
111,RegionF,89
112,RegionA,46
112,RegionB,28
112,RegionC,100
112,RegionD,392
112,RegionE,293
112,RegionF,16
113,RegionA,42
113,RegionB,18
113,RegionC,83
113,RegionD,99
113,RegionE,25
113,RegionF,103
114,RegionA,45
114,RegionB,11
114,RegionC,113
114,RegionD,274
114,RegionE,141
114,RegionF,220
115,RegionA,6
115,RegionB,130
115,RegionC,7
115,RegionD,277
115,RegionE,133
115,RegionF,233
116,RegionA,13
116,RegionB,101
116,RegionC,6
116,RegionD,331
116,RegionE,176
116,RegionF,114
117,RegionA,29
117,RegionB,26
117,RegionC,18
117,RegionD,279
117,RegionE,211
117,RegionF,17
118,RegionA,101
118,RegionB,45
118,RegionC,34
118,RegionD,187
118,RegionE,139
118,RegionF,138
119,RegionA,138
119,RegionB,26
119,RegionC,47
119,RegionD,220
119,RegionE,154
119,RegionF,189
120,RegionA,33
120,RegionB,11
120,RegionC,41
120,RegionD,230
120,RegionE,172
120,RegionF,272
121,RegionA,61
121,RegionB,83
121,RegionC,127
121,RegionD,435
121,RegionE,107
121,RegionF,94
122,RegionA,60
122,RegionB,27
122,RegionC,142
122,RegionD,234
122,RegionE,219
122,RegionF,133
123,RegionA,44
123,RegionB,23
123,RegionC,26
123,RegionD,314
123,RegionE,287
123,RegionF,42
124,RegionA,65
124,RegionB,100
124,RegionC,229
124,RegionD,262
124,RegionE,77
124,RegionF,166
125,RegionA,3
125,RegionB,118
125,RegionC,28
125,RegionD,80
125,RegionE,19
125,RegionF,193
126,RegionA,46
126,RegionB,137
126,RegionC,9
126,RegionD,392
126,RegionE,129
126,RegionF,0
127,RegionA,28
127,RegionB,42
127,RegionC,82
127,RegionD,310
127,RegionE,124
127,RegionF,262
128,RegionA,36
128,RegionB,9
128,RegionC,65
128,RegionD,274
128,RegionE,131
128,RegionF,53
129,RegionA,4
129,RegionB,12
129,RegionC,34
129,RegionD,220
129,RegionE,32
129,RegionF,197
130,RegionA,34
130,RegionB,33
130,RegionC,8
130,RegionD,0
130,RegionE,118
130,RegionF,0
131,RegionA,23
131,RegionB,27
131,RegionC,17
131,RegionD,201
131,RegionE,64
131,RegionF,346
132,RegionA,14
132,RegionB,103
132,RegionC,51
132,RegionD,160
132,RegionE,33
132,RegionF,244
133,RegionA,0
133,RegionB,149
133,RegionC,12
133,RegionD,439
133,RegionE,127
133,RegionF,217
134,RegionA,12
134,RegionB,62
134,RegionC,82
134,RegionD,134
134,RegionE,62
134,RegionF,121
135,RegionA,11
135,RegionB,17
135,RegionC,25
135,RegionD,211
135,RegionE,235
135,RegionF,119
136,RegionA,69
136,RegionB,119
136,RegionC,9
136,RegionD,164
136,RegionE,18
136,RegionF,21
137,RegionA,47
137,RegionB,83
137,RegionC,5
137,RegionD,262
137,RegionE,122
137,RegionF,29
138,RegionA,86
138,RegionB,65
138,RegionC,7
138,RegionD,323
138,RegionE,170
138,RegionF,6
139,RegionA,53
139,RegionB,19
139,RegionC,6
139,RegionD,150
139,RegionE,176
139,RegionF,125
140,RegionA,135
140,RegionB,165
140,RegionC,63
140,RegionD,0
140,RegionE,44
140,RegionF,244
141,RegionA,61
141,RegionB,67
141,RegionC,18
141,RegionD,329
141,RegionE,151
141,RegionF,30
142,RegionA,34
142,RegionB,170
142,RegionC,15
142,RegionD,70
142,RegionE,140
142,RegionF,37
143,RegionA,8
143,RegionB,26
143,RegionC,53
143,RegionD,0
143,RegionE,155
143,RegionF,136
144,RegionA,48
144,RegionB,14
144,RegionC,0
144,RegionD,303
144,RegionE,140
144,RegionF,354
145,RegionA,35
145,RegionB,103
145,RegionC,56
145,RegionD,95
145,RegionE,187
145,RegionF,0
146,RegionA,57
146,RegionB,29
146,RegionC,3
146,RegionD,139
146,RegionE,245
146,RegionF,121
147,RegionA,18
147,RegionB,113
147,RegionC,46
147,RegionD,250
147,RegionE,148
147,RegionF,375
148,RegionA,181
148,RegionB,138
148,RegionC,73
148,RegionD,211
148,RegionE,35
148,RegionF,168
149,RegionA,27
149,RegionB,58
149,RegionC,55
149,RegionD,238
149,RegionE,53
149,RegionF,131
150,RegionA,211
150,RegionB,87
150,RegionC,84
150,RegionD,154
150,RegionE,73
150,RegionF,71
151,RegionA,29
151,RegionB,168
151,RegionC,99
151,RegionD,122
151,RegionE,181
151,RegionF,106
152,RegionA,58
152,RegionB,72
152,RegionC,26
152,RegionD,252
152,RegionE,467
152,RegionF,111
153,RegionA,65
153,RegionB,153
153,RegionC,154
153,RegionD,333
153,RegionE,0
153,RegionF,5
154,RegionA,93
154,RegionB,116
154,RegionC,7
154,RegionD,173
154,RegionE,185
154,RegionF,135
155,RegionA,4
155,RegionB,11
155,RegionC,8
155,RegionD,18
155,RegionE,74
155,RegionF,160
156,RegionA,10
156,RegionB,19
156,RegionC,42
156,RegionD,22
156,RegionE,107
156,RegionF,341
157,RegionA,162
157,RegionB,80
157,RegionC,99
157,RegionD,93
157,RegionE,107
157,RegionF,11
158,RegionA,2
158,RegionB,23
158,RegionC,11
158,RegionD,203
158,RegionE,277
158,RegionF,215
159,RegionA,33
159,RegionB,26
159,RegionC,115
159,RegionD,106
159,RegionE,148
159,RegionF,114
160,RegionA,17
160,RegionB,3
160,RegionC,140
160,RegionD,81
160,RegionE,151
160,RegionF,40
161,RegionA,52
161,RegionB,27
161,RegionC,9
161,RegionD,625
161,RegionE,19
161,RegionF,166
162,RegionA,30
162,RegionB,55
162,RegionC,6
162,RegionD,142
162,RegionE,63
162,RegionF,57
163,RegionA,128
163,RegionB,25
163,RegionC,16
163,RegionD,332
163,RegionE,44
163,RegionF,143
164,RegionA,105
164,RegionB,141
164,RegionC,17
164,RegionD,13
164,RegionE,170
164,RegionF,38
165,RegionA,88
165,RegionB,158
165,RegionC,93
165,RegionD,0
165,RegionE,145
165,RegionF,162
166,RegionA,112
166,RegionB,61
166,RegionC,3
166,RegionD,40
166,RegionE,395
166,RegionF,193
167,RegionA,56
167,RegionB,41
167,RegionC,15
167,RegionD,61
167,RegionE,95
167,RegionF,15
168,RegionA,127
168,RegionB,18
168,RegionC,10
168,RegionD,206
168,RegionE,223
168,RegionF,250
169,RegionA,15
169,RegionB,0
169,RegionC,21
169,RegionD,129
169,RegionE,0
169,RegionF,273
170,RegionA,141
170,RegionB,191
170,RegionC,85
170,RegionD,417
170,RegionE,90
170,RegionF,156
171,RegionA,28
171,RegionB,32
171,RegionC,33
171,RegionD,233
171,RegionE,88
171,RegionF,379
172,RegionA,8
172,RegionB,135
172,RegionC,42
172,RegionD,155
172,RegionE,41
172,RegionF,103
173,RegionA,95
173,RegionB,122
173,RegionC,101
173,RegionD,122
173,RegionE,34
173,RegionF,299
174,RegionA,11
174,RegionB,24
174,RegionC,90
174,RegionD,131
174,RegionE,298
174,RegionF,6
175,RegionA,247
175,RegionB,25
175,RegionC,0
175,RegionD,75
175,RegionE,117
175,RegionF,260
176,RegionA,13
176,RegionB,27
176,RegionC,18
176,RegionD,25
176,RegionE,148
176,RegionF,132
177,RegionA,108
177,RegionB,16
177,RegionC,51
177,RegionD,25
177,RegionE,159
177,RegionF,115
178,RegionA,17
178,RegionB,33
178,RegionC,5
178,RegionD,158
178,RegionE,105
178,RegionF,140
179,RegionA,105
179,RegionB,92
179,RegionC,86
179,RegionD,11
179,RegionE,153
179,RegionF,153
180,RegionA,33
180,RegionB,32
180,RegionC,28
180,RegionD,363
180,RegionE,161
180,RegionF,0
181,RegionA,77
181,RegionB,23
181,RegionC,24
181,RegionD,262
181,RegionE,108
181,RegionF,86
182,RegionA,16
182,RegionB,35
182,RegionC,9
182,RegionD,415
182,RegionE,85
182,RegionF,137
183,RegionA,69
183,RegionB,116
183,RegionC,99
183,RegionD,232
183,RegionE,183
183,RegionF,123
184,RegionA,125
184,RegionB,44
184,RegionC,20
184,RegionD,296
184,RegionE,269
184,RegionF,173
185,RegionA,51
185,RegionB,26
185,RegionC,81
185,RegionD,156
185,RegionE,150
185,RegionF,106
186,RegionA,26
186,RegionB,58
186,RegionC,147
186,RegionD,41
186,RegionE,38
186,RegionF,18
187,RegionA,3
187,RegionB,53
187,RegionC,9
187,RegionD,291
187,RegionE,28
187,RegionF,193
188,RegionA,47
188,RegionB,28
188,RegionC,157
188,RegionD,246
188,RegionE,41
188,RegionF,215
189,RegionA,19
189,RegionB,86
189,RegionC,39
189,RegionD,290
189,RegionE,18
189,RegionF,39
190,RegionA,134
190,RegionB,49
190,RegionC,207
190,RegionD,150
190,RegionE,222
190,RegionF,51
191,RegionA,33
191,RegionB,19
191,RegionC,80
191,RegionD,3
191,RegionE,445
191,RegionF,21
192,RegionA,44
192,RegionB,141
192,RegionC,199
192,RegionD,449
192,RegionE,75
192,RegionF,88
193,RegionA,31
193,RegionB,52
193,RegionC,39
193,RegionD,112
193,RegionE,147
193,RegionF,110
194,RegionA,3
194,RegionB,9
194,RegionC,4
194,RegionD,30
194,RegionE,257
194,RegionF,323
195,RegionA,13
195,RegionB,0
195,RegionC,85
195,RegionD,686
195,RegionE,158
195,RegionF,81
196,RegionA,34
196,RegionB,12
196,RegionC,109
196,RegionD,142
196,RegionE,69
196,RegionF,143
197,RegionA,0
197,RegionB,143
197,RegionC,55
197,RegionD,136
197,RegionE,222
197,RegionF,36
198,RegionA,2
198,RegionB,38
198,RegionC,57
198,RegionD,83
198,RegionE,139
198,RegionF,195
199,RegionA,6
199,RegionB,139
199,RegionC,122
199,RegionD,505
199,RegionE,7
199,RegionF,18
200,RegionA,16
200,RegionB,18
200,RegionC,11
200,RegionD,151
200,RegionE,107
200,RegionF,124
201,RegionA,33
201,RegionB,42
201,RegionC,39
201,RegionD,333
201,RegionE,145
201,RegionF,90
202,RegionA,176
202,RegionB,75
202,RegionC,13
202,RegionD,325
202,RegionE,165
202,RegionF,36
203,RegionA,117
203,RegionB,9
203,RegionC,51
203,RegionD,188
203,RegionE,8
203,RegionF,25
204,RegionA,76
204,RegionB,92
204,RegionC,15
204,RegionD,289
204,RegionE,153
204,RegionF,74
205,RegionA,25
205,RegionB,24
205,RegionC,43
205,RegionD,322
205,RegionE,26
205,RegionF,147
206,RegionA,10
206,RegionB,110
206,RegionC,3
206,RegionD,80
206,RegionE,216
206,RegionF,124
207,RegionA,8
207,RegionB,43
207,RegionC,10
207,RegionD,126
207,RegionE,20
207,RegionF,55
208,RegionA,49
208,RegionB,31
208,RegionC,81
208,RegionD,243
208,RegionE,118
208,RegionF,51
209,RegionA,128
209,RegionB,22
209,RegionC,36
209,RegionD,76
209,RegionE,225
209,RegionF,21
210,RegionA,16
210,RegionB,85
210,RegionC,146
210,RegionD,298
210,RegionE,116
210,RegionF,0
211,RegionA,19
211,RegionB,116
211,RegionC,9
211,RegionD,97
211,RegionE,167
211,RegionF,10
212,RegionA,16
212,RegionB,17
212,RegionC,12
212,RegionD,403
212,RegionE,186
212,RegionF,151
213,RegionA,108
213,RegionB,16
213,RegionC,37
213,RegionD,54
213,RegionE,261
213,RegionF,88
214,RegionA,56
214,RegionB,48
214,RegionC,3
214,RegionD,193
214,RegionE,36
214,RegionF,357
215,RegionA,32
215,RegionB,25
215,RegionC,127
215,RegionD,98
215,RegionE,183
215,RegionF,205
216,RegionA,8
216,RegionB,0
216,RegionC,9
216,RegionD,108
216,RegionE,82
216,RegionF,319
217,RegionA,105
217,RegionB,39
217,RegionC,5
217,RegionD,189
217,RegionE,261
217,RegionF,267
218,RegionA,30
218,RegionB,63
218,RegionC,23
218,RegionD,297
218,RegionE,432
218,RegionF,20
219,RegionA,65
219,RegionB,41
219,RegionC,9
219,RegionD,144
219,RegionE,468
219,RegionF,216
220,RegionA,35
220,RegionB,66
220,RegionC,131
220,RegionD,90
220,RegionE,141
220,RegionF,208
221,RegionA,62
221,RegionB,22
221,RegionC,10
221,RegionD,220
221,RegionE,129
221,RegionF,97
222,RegionA,32
222,RegionB,0
222,RegionC,30
222,RegionD,180
222,RegionE,155
222,RegionF,319
223,RegionA,34
223,RegionB,105
223,RegionC,47
223,RegionD,559
223,RegionE,126
223,RegionF,57
224,RegionA,97
224,RegionB,52
224,RegionC,94
224,RegionD,298
224,RegionE,96
224,RegionF,75
225,RegionA,108
225,RegionB,119
225,RegionC,9
225,RegionD,91
225,RegionE,0
225,RegionF,124
226,RegionA,15
226,RegionB,54
226,RegionC,46
226,RegionD,318
226,RegionE,0
226,RegionF,208
227,RegionA,131
227,RegionB,16
227,RegionC,0
227,RegionD,114
227,RegionE,121
227,RegionF,500
228,RegionA,31
228,RegionB,47
228,RegionC,22
228,RegionD,211
228,RegionE,273
228,RegionF,421
229,RegionA,5
229,RegionB,135
229,RegionC,50
229,RegionD,337
229,RegionE,167
229,RegionF,427
230,RegionA,71
230,RegionB,70
230,RegionC,15
230,RegionD,62
230,RegionE,81
230,RegionF,261
231,RegionA,18
231,RegionB,7
231,RegionC,24
231,RegionD,73
231,RegionE,158
231,RegionF,7
232,RegionA,156
232,RegionB,51
232,RegionC,133
232,RegionD,94
232,RegionE,201
232,RegionF,126
233,RegionA,5
233,RegionB,39
233,RegionC,120
233,RegionD,165
233,RegionE,125
233,RegionF,172
234,RegionA,23
234,RegionB,31
234,RegionC,16
234,RegionD,28
234,RegionE,133
234,RegionF,99
235,RegionA,34
235,RegionB,102
235,RegionC,0
235,RegionD,541
235,RegionE,111
235,RegionF,258
236,RegionA,15
236,RegionB,34
236,RegionC,13
236,RegionD,320
236,RegionE,178
236,RegionF,282
237,RegionA,48
237,RegionB,99
237,RegionC,221
237,RegionD,35
237,RegionE,0
237,RegionF,0
238,RegionA,132
238,RegionB,53
238,RegionC,57
238,RegionD,150
238,RegionE,80
238,RegionF,0
239,RegionA,33
239,RegionB,23
239,RegionC,21
239,RegionD,57
239,RegionE,10
239,RegionF,219
240,RegionA,30
240,RegionB,21
240,RegionC,54
240,RegionD,159
240,RegionE,156
240,RegionF,246
241,RegionA,13
241,RegionB,101
241,RegionC,54
241,RegionD,100
241,RegionE,140
241,RegionF,302
242,RegionA,42
242,RegionB,23
242,RegionC,17
242,RegionD,139
242,RegionE,94
242,RegionF,220
243,RegionA,4
243,RegionB,11
243,RegionC,15
243,RegionD,290
243,RegionE,298
243,RegionF,154
244,RegionA,52
244,RegionB,30
244,RegionC,68
244,RegionD,182
244,RegionE,236
244,RegionF,0
245,RegionA,195
245,RegionB,98
245,RegionC,39
245,RegionD,131
245,RegionE,193
245,RegionF,172
246,RegionA,12
246,RegionB,2
246,RegionC,134
246,RegionD,237
246,RegionE,140
246,RegionF,149
247,RegionA,15
247,RegionB,33
247,RegionC,6
247,RegionD,354
247,RegionE,77
247,RegionF,27
248,RegionA,10
248,RegionB,32
248,RegionC,3
248,RegionD,116
248,RegionE,69
248,RegionF,102
249,RegionA,53
249,RegionB,41
249,RegionC,116
249,RegionD,218
249,RegionE,35
249,RegionF,258
250,RegionA,17
250,RegionB,22
250,RegionC,27
250,RegionD,569
250,RegionE,327
250,RegionF,39
251,RegionA,36
251,RegionB,27
251,RegionC,11
251,RegionD,138
251,RegionE,16
251,RegionF,310
252,RegionA,85
252,RegionB,25
252,RegionC,43
252,RegionD,399
252,RegionE,1
252,RegionF,178
253,RegionA,104
253,RegionB,107
253,RegionC,91
253,RegionD,308
253,RegionE,35
253,RegionF,197
254,RegionA,39
254,RegionB,12
254,RegionC,41
254,RegionD,121
254,RegionE,111
254,RegionF,33
255,RegionA,148
255,RegionB,277
255,RegionC,0
255,RegionD,291
255,RegionE,9
255,RegionF,145
256,RegionA,65
256,RegionB,13
256,RegionC,50
256,RegionD,149
256,RegionE,0
256,RegionF,0
257,RegionA,13
257,RegionB,31
257,RegionC,73
257,RegionD,276
257,RegionE,76
257,RegionF,101
258,RegionA,35
258,RegionB,101
258,RegionC,20
258,RegionD,367
