Hour,Region,TaskType,GPU_Demand
16,RegionB,RealTimeInference,1
16,RegionB,BatchInference,33
16,RegionB,AITraining,118
16,RegionC,RealTimeInference,15
16,RegionC,BatchInference,0
16,RegionC,AITraining,0
16,RegionD,RealTimeInference,6
16,RegionD,BatchInference,0
16,RegionD,AITraining,0
16,RegionE,RealTimeInference,0
16,RegionE,BatchInference,23
16,RegionE,AITraining,0
16,RegionF,RealTimeInference,0
16,RegionF,BatchInference,0
16,RegionF,AITraining,0
17,RegionA,RealTimeInference,9
17,RegionA,BatchInference,19
17,RegionA,AITraining,0
17,RegionB,RealTimeInference,16
17,RegionB,BatchInference,42
17,RegionB,AITraining,33
17,RegionC,RealTimeInference,9
17,RegionC,BatchInference,20
17,RegionC,AITraining,0
17,RegionD,RealTimeInference,0
17,RegionD,BatchInference,6
17,RegionD,AITraining,87
17,RegionE,RealTimeInference,7
17,RegionE,BatchInference,0
17,RegionE,AITraining,213
17,RegionF,RealTimeInference,0
17,RegionF,BatchInference,8
17,RegionF,AITraining,365
18,RegionA,RealTimeInference,12
18,RegionA,BatchInference,17
18,RegionA,AITraining,41
18,RegionB,RealTimeInference,11
18,RegionB,BatchInference,12
18,RegionB,AITraining,109
18,RegionC,RealTimeInference,7
18,RegionC,BatchInference,48
18,RegionC,AITraining,40
18,RegionD,RealTimeInference,0
18,RegionD,BatchInference,18
18,RegionD,AITraining,158
18,RegionE,RealTimeInference,0
18,RegionE,BatchInference,0
18,RegionE,AITraining,0
18,RegionF,RealTimeInference,0
18,RegionF,BatchInference,20
18,RegionF,AITraining,110
19,RegionA,RealTimeInference,7
19,RegionA,BatchInference,40
19,RegionA,AITraining,255
19,RegionB,RealTimeInference,7
19,RegionB,BatchInference,5
19,RegionB,AITraining,155
19,RegionC,RealTimeInference,1
19,RegionC,BatchInference,0
19,RegionC,AITraining,23
19,RegionD,RealTimeInference,0
19,RegionD,BatchInference,21
19,RegionD,AITraining,195
19,RegionE,RealTimeInference,0
19,RegionE,BatchInference,16
19,RegionE,AITraining,29
19,RegionF,RealTimeInference,0
19,RegionF,BatchInference,41
19,RegionF,AITraining,34
20,RegionA,RealTimeInference,2
20,RegionA,BatchInference,39
20,RegionA,AITraining,0
20,RegionB,RealTimeInference,2
20,RegionB,BatchInference,23
20,RegionB,AITraining,52
20,RegionC,RealTimeInference,5
20,RegionC,BatchInference,0
20,RegionC,AITraining,0
20,RegionD,RealTimeInference,1
20,RegionD,BatchInference,25
20,RegionD,AITraining,151
20,RegionE,RealTimeInference,0
20,RegionE,BatchInference,40
20,RegionE,AITraining,85
20,RegionF,RealTimeInference,0
20,RegionF,BatchInference,0
20,RegionF,AITraining,152
21,RegionA,RealTimeInference,15
21,RegionA,BatchInference,11
21,RegionA,AITraining,59
21,RegionB,RealTimeInference,0
21,RegionB,BatchInference,50
21,RegionB,AITraining,122
21,RegionC,RealTimeInference,1
21,RegionC,BatchInference,12
21,RegionC,AITraining,0
21,RegionD,RealTimeInference,0
21,RegionD,BatchInference,0
21,RegionD,AITraining,95
21,RegionE,RealTimeInference,0
21,RegionE,BatchInference,0
21,RegionE,AITraining,334
21,RegionF,RealTimeInference,0
21,RegionF,BatchInference,0
21,RegionF,AITraining,406
22,RegionA,RealTimeInference,20
22,RegionA,BatchInference,0
22,RegionA,AITraining,0
22,RegionB,RealTimeInference,19
22,RegionB,BatchInference,0
22,RegionB,AITraining,0
22,RegionC,RealTimeInference,10
22,RegionC,BatchInference,4
22,RegionC,AITraining,45
22,RegionD,RealTimeInference,0
22,RegionD,BatchInference,0
22,RegionD,AITraining,135
22,RegionE,RealTimeInference,0
22,RegionE,BatchInference,0
22,RegionE,AITraining,0
22,RegionF,RealTimeInference,5
22,RegionF,BatchInference,11
22,RegionF,AITraining,0
23,RegionA,RealTimeInference,17
23,RegionA,BatchInference,22
23,RegionA,AITraining,88
23,RegionB,RealTimeInference,18
23,RegionB,BatchInference,19
23,RegionB,AITraining,0
23,RegionC,RealTimeInference,7
23,RegionC,BatchInference,9
23,RegionC,AITraining,0
23,RegionD,RealTimeInference,0
23,RegionD,BatchInference,8
23,RegionD,AITraining,98
23,RegionE,RealTimeInference,0
23,RegionE,BatchInference,17
23,RegionE,AITraining,0
23,RegionF,RealTimeInference,6
23,RegionF,BatchInference,27
23,RegionF,AITraining,99
24,RegionA,RealTimeInference,6
24,RegionA,BatchInference,21
24,RegionA,AITraining,0
24,RegionB,RealTimeInference,3
24,RegionB,BatchInference,13
24,RegionB,AITraining,0
24,RegionC,RealTimeInference,0
24,RegionC,BatchInference,0
24,RegionC,AITraining,0
24,RegionD,RealTimeInference,0
24,RegionD,BatchInference,18
24,RegionD,AITraining,173
24,RegionE,RealTimeInference,0
24,RegionE,BatchInference,37
24,RegionE,AITraining,63
24,RegionF,RealTimeInference,0
24,RegionF,BatchInference,28
24,RegionF,AITraining,314
25,RegionA,RealTimeInference,4
25,RegionA,BatchInference,7
25,RegionA,AITraining,0
25,RegionB,RealTimeInference,12
25,RegionB,BatchInference,15
25,RegionB,AITraining,127
25,RegionC,RealTimeInference,2
25,RegionC,BatchInference,7
25,RegionC,AITraining,0
25,RegionD,RealTimeInference,0
25,RegionD,BatchInference,0
25,RegionD,AITraining,0
25,RegionE,RealTimeInference,0
25,RegionE,BatchInference,0
25,RegionE,AITraining,170
25,RegionF,RealTimeInference,0
25,RegionF,BatchInference,15
25,RegionF,AITraining,46
26,RegionA,RealTimeInference,14
26,RegionA,BatchInference,0
26,RegionA,AITraining,0
26,RegionB,RealTimeInference,5
26,RegionB,BatchInference,0
26,RegionB,AITraining,0
26,RegionC,RealTimeInference,0
26,RegionC,BatchInference,18
26,RegionC,AITraining,79
26,RegionD,RealTimeInference,0
26,RegionD,BatchInference,35
26,RegionD,AITraining,65
26,RegionE,RealTimeInference,6
26,RegionE,BatchInference,49
26,RegionE,AITraining,105
26,RegionF,RealTimeInference,2
26,RegionF,BatchInference,37
26,RegionF,AITraining,273
27,RegionA,RealTimeInference,12
27,RegionA,BatchInference,0
27,RegionA,AITraining,0
27,RegionB,RealTimeInference,14
27,RegionB,BatchInference,23
27,RegionB,AITraining,0
27,RegionC,RealTimeInference,9
27,RegionC,BatchInference,0
27,RegionC,AITraining,115
27,RegionD,RealTimeInference,9
27,RegionD,BatchInference,9
27,RegionD,AITraining,169
27,RegionE,RealTimeInference,7
27,RegionE,BatchInference,0
27,RegionE,AITraining,117
27,RegionF,RealTimeInference,0
27,RegionF,BatchInference,13
27,RegionF,AITraining,230
28,RegionA,RealTimeInference,19
28,RegionA,BatchInference,12
28,RegionA,AITraining,0
28,RegionB,RealTimeInference,4
28,RegionB,BatchInference,19
28,RegionB,AITraining,0
28,RegionC,RealTimeInference,7
28,RegionC,BatchInference,38
28,RegionC,AITraining,0
28,RegionD,RealTimeInference,0
28,RegionD,BatchInference,0
28,RegionD,AITraining,556
28,RegionE,RealTimeInference,0
28,RegionE,BatchInference,22
28,RegionE,AITraining,169
28,RegionF,RealTimeInference,7
28,RegionF,BatchInference,7
28,RegionF,AITraining,336
29,RegionA,RealTimeInference,7
29,RegionA,BatchInference,23
29,RegionA,AITraining,105
29,RegionB,RealTimeInference,10
29,RegionB,BatchInference,0
29,RegionB,AITraining,0
29,RegionC,RealTimeInference,12
29,RegionC,BatchInference,35
29,RegionC,AITraining,0
29,RegionD,RealTimeInference,0
29,RegionD,BatchInference,53
29,RegionD,AITraining,300
29,RegionE,RealTimeInference,0
29,RegionE,BatchInference,0
29,RegionE,AITraining,351
29,RegionF,RealTimeInference,4
29,RegionF,BatchInference,8
29,RegionF,AITraining,116
30,RegionA,RealTimeInference,9
30,RegionA,BatchInference,4
30,RegionA,AITraining,151
30,RegionB,RealTimeInference,15
30,RegionB,BatchInference,0
30,RegionB,AITraining,102
30,RegionC,RealTimeInference,2
30,RegionC,BatchInference,6
30,RegionC,AITraining,0
30,RegionD,RealTimeInference,0
30,RegionD,BatchInference,31
30,RegionD,AITraining,0
30,RegionE,RealTimeInference,0
30,RegionE,BatchInference,0
30,RegionE,AITraining,76
30,RegionF,RealTimeInference,0
30,RegionF,BatchInference,0
30,RegionF,AITraining,0
31,RegionA,RealTimeInference,18
31,RegionA,BatchInference,5
31,RegionA,AITraining,63
31,RegionB,RealTimeInference,11
31,RegionB,BatchInference,9
31,RegionB,AITraining,0
31,RegionC,RealTimeInference,4
31,RegionC,BatchInference,7
31,RegionC,AITraining,0
31,RegionD,RealTimeInference,0
31,RegionD,BatchInference,22
31,RegionD,AITraining,17
31,RegionE,RealTimeInference,0
31,RegionE,BatchInference,22
31,RegionE,AITraining,0
31,RegionF,RealTimeInference,0
31,RegionF,BatchInference,0
31,RegionF,AITraining,0
32,RegionA,RealTimeInference,0
32,RegionA,BatchInference,4
32,RegionA,AITraining,0
32,RegionB,RealTimeInference,25
32,RegionB,BatchInference,44
32,RegionB,AITraining,0
32,RegionC,RealTimeInference,6
32,RegionC,BatchInference,61
32,RegionC,AITraining,172
32,RegionD,RealTimeInference,0
32,RegionD,BatchInference,60
32,RegionD,AITraining,119
32,RegionE,RealTimeInference,0
32,RegionE,BatchInference,22
32,RegionE,AITraining,214
32,RegionF,RealTimeInference,5
32,RegionF,BatchInference,0
32,RegionF,AITraining,473
33,RegionA,RealTimeInference,2
33,RegionA,BatchInference,65
33,RegionA,AITraining,0
33,RegionB,RealTimeInference,6
33,RegionB,BatchInference,0
33,RegionB,AITraining,0
33,RegionC,RealTimeInference,7
33,RegionC,BatchInference,0
33,RegionC,AITraining,76
33,RegionD,RealTimeInference,0
33,RegionD,BatchInference,33
33,RegionD,AITraining,30
33,RegionE,RealTimeInference,0
33,RegionE,BatchInference,22
33,RegionE,AITraining,313
33,RegionF,RealTimeInference,4
33,RegionF,BatchInference,8
33,RegionF,AITraining,165
34,RegionA,RealTimeInference,15
34,RegionA,BatchInference,25
34,RegionA,AITraining,51
34,RegionB,RealTimeInference,2
34,RegionB,BatchInference,37
34,RegionB,AITraining,0
34,RegionC,RealTimeInference,11
34,RegionC,BatchInference,52
34,RegionC,AITraining,97
34,RegionD,RealTimeInference,0
34,RegionD,BatchInference,0
34,RegionD,AITraining,307
34,RegionE,RealTimeInference,0
34,RegionE,BatchInference,15
34,RegionE,AITraining,303
34,RegionF,RealTimeInference,0
34,RegionF,BatchInference,37
34,RegionF,AITraining,188
35,RegionA,RealTimeInference,4
35,RegionA,BatchInference,17
35,RegionA,AITraining,0
35,RegionB,RealTimeInference,0
35,RegionB,BatchInference,8
35,RegionB,AITraining,0
35,RegionC,RealTimeInference,12
35,RegionC,BatchInference,42
35,RegionC,AITraining,0
35,RegionD,RealTimeInference,0
35,RegionD,BatchInference,21
35,RegionD,AITraining,201
35,RegionE,RealTimeInference,0
35,RegionE,BatchInference,34
35,RegionE,AITraining,68
35,RegionF,RealTimeInference,4
35,RegionF,BatchInference,12
35,RegionF,AITraining,0
36,RegionA,RealTimeInference,10
36,RegionA,BatchInference,15
36,RegionA,AITraining,68
36,RegionB,RealTimeInference,3
36,RegionB,BatchInference,14
36,RegionB,AITraining,74
36,RegionC,RealTimeInference,0
36,RegionC,BatchInference,12
36,RegionC,AITraining,0
36,RegionD,RealTimeInference,0
36,RegionD,BatchInference,0
36,RegionD,AITraining,364
36,RegionE,RealTimeInference,0
36,RegionE,BatchInference,0
36,RegionE,AITraining,0
36,RegionF,RealTimeInference,0
36,RegionF,BatchInference,0
36,RegionF,AITraining,131
37,RegionA,RealTimeInference,3
37,RegionA,BatchInference,24
37,RegionA,AITraining,56
37,RegionB,RealTimeInference,10
37,RegionB,BatchInference,22
37,RegionB,AITraining,0
37,RegionC,RealTimeInference,6
37,RegionC,BatchInference,0
37,RegionC,AITraining,33
37,RegionD,RealTimeInference,0
37,RegionD,BatchInference,17
37,RegionD,AITraining,65
37,RegionE,RealTimeInference,0
37,RegionE,BatchInference,0
37,RegionE,AITraining,150
37,RegionF,RealTimeInference,0
37,RegionF,BatchInference,19
37,RegionF,AITraining,99
38,RegionA,RealTimeInference,1
38,RegionA,BatchInference,4
38,RegionA,AITraining,0
38,RegionB,RealTimeInference,19
38,RegionB,BatchInference,10
38,RegionB,AITraining,0
38,RegionC,RealTimeInference,19
38,RegionC,BatchInference,0
38,RegionC,AITraining,111
38,RegionD,RealTimeInference,0
38,RegionD,BatchInference,13
38,RegionD,AITraining,53
38,RegionE,RealTimeInference,0
38,RegionE,BatchInference,35
38,RegionE,AITraining,229
38,RegionF,RealTimeInference,0
38,RegionF,BatchInference,0
38,RegionF,AITraining,48
39,RegionA,RealTimeInference,20
39,RegionA,BatchInference,48
39,RegionA,AITraining,0
39,RegionB,RealTimeInference,4
39,RegionB,BatchInference,22
39,RegionB,AITraining,0
39,RegionC,RealTimeInference,9
39,RegionC,BatchInference,10
39,RegionC,AITraining,0
39,RegionD,RealTimeInference,3
39,RegionD,BatchInference,55
39,RegionD,AITraining,136
39,RegionE,RealTimeInference,6
39,RegionE,BatchInference,0
39,RegionE,AITraining,121
39,RegionF,RealTimeInference,0
39,RegionF,BatchInference,0
39,RegionF,AITraining,97
40,RegionA,RealTimeInference,16
40,RegionA,BatchInference,22
40,RegionA,AITraining,0
40,RegionB,RealTimeInference,7
40,RegionB,BatchInference,8
40,RegionB,AITraining,0
40,RegionC,RealTimeInference,4
40,RegionC,BatchInference,27
40,RegionC,AITraining,0
40,RegionD,RealTimeInference,0
40,RegionD,BatchInference,7
40,RegionD,AITraining,150
40,RegionE,RealTimeInference,1
40,RegionE,BatchInference,12
40,RegionE,AITraining,0
40,RegionF,RealTimeInference,0
40,RegionF,BatchInference,0
40,RegionF,AITraining,465
41,RegionA,RealTimeInference,11
41,RegionA,BatchInference,23
41,RegionA,AITraining,0
41,RegionB,RealTimeInference,0
41,RegionB,BatchInference,18
41,RegionB,AITraining,37
41,RegionC,RealTimeInference,2
41,RegionC,BatchInference,11
41,RegionC,AITraining,180
41,RegionD,RealTimeInference,2
41,RegionD,BatchInference,19
41,RegionD,AITraining,123
41,RegionE,RealTimeInference,1
41,RegionE,BatchInference,0
41,RegionE,AITraining,125
41,RegionF,RealTimeInference,0
41,RegionF,BatchInference,0
41,RegionF,AITraining,112
42,RegionA,RealTimeInference,28
42,RegionA,BatchInference,26
42,RegionA,AITraining,0
42,RegionB,RealTimeInference,9
42,RegionB,BatchInference,0
42,RegionB,AITraining,0
42,RegionC,RealTimeInference,10
42,RegionC,BatchInference,7
42,RegionC,AITraining,0
42,RegionD,RealTimeInference,1
42,RegionD,BatchInference,19
42,RegionD,AITraining,54
42,RegionE,RealTimeInference,0
42,RegionE,BatchInference,0
42,RegionE,AITraining,146
42,RegionF,RealTimeInference,7
42,RegionF,BatchInference,45
42,RegionF,AITraining,121
43,RegionA,RealTimeInference,8
43,RegionA,BatchInference,67
43,RegionA,AITraining,0
43,RegionB,RealTimeInference,13
43,RegionB,BatchInference,0
43,RegionB,AITraining,59
43,RegionC,RealTimeInference,3
43,RegionC,BatchInference,34
43,RegionC,AITraining,125
43,RegionD,RealTimeInference,5
43,RegionD,BatchInference,18
43,RegionD,AITraining,126
43,RegionE,RealTimeInference,0
43,RegionE,BatchInference,0
43,RegionE,AITraining,52
43,RegionF,RealTimeInference,0
43,RegionF,BatchInference,12
43,RegionF,AITraining,63
44,RegionA,RealTimeInference,1
44,RegionA,BatchInference,0
44,RegionA,AITraining,111
44,RegionB,RealTimeInference,8
44,RegionB,BatchInference,15
44,RegionB,AITraining,66
44,RegionC,RealTimeInference,4
44,RegionC,BatchInference,13
44,RegionC,AITraining,44
44,RegionD,RealTimeInference,5
44,RegionD,BatchInference,32
44,RegionD,AITraining,359
44,RegionE,RealTimeInference,0
44,RegionE,BatchInference,4
44,RegionE,AITraining,129
44,RegionF,RealTimeInference,0
44,RegionF,BatchInference,0
44,RegionF,AITraining,125
45,RegionA,RealTimeInference,7
45,RegionA,BatchInference,23
45,RegionA,AITraining,0
45,RegionB,RealTimeInference,4
45,RegionB,BatchInference,19
45,RegionB,AITraining,0
45,RegionC,RealTimeInference,12
45,RegionC,BatchInference,0
45,RegionC,AITraining,21
45,RegionD,RealTimeInference,0
45,RegionD,BatchInference,28
45,RegionD,AITraining,75
45,RegionE,RealTimeInference,6
45,RegionE,BatchInference,0
45,RegionE,AITraining,203
45,RegionF,RealTimeInference,0
45,RegionF,BatchInference,19
45,RegionF,AITraining,87
46,RegionA,RealTimeInference,0
46,RegionA,BatchInference,21
46,RegionA,AITraining,53
46,RegionB,RealTimeInference,0
46,RegionB,BatchInference,13
46,RegionB,AITraining,0
46,RegionC,RealTimeInference,19
46,RegionC,BatchInference,24
46,RegionC,AITraining,0
46,RegionD,RealTimeInference,0
46,RegionD,BatchInference,0
46,RegionD,AITraining,24
46,RegionE,RealTimeInference,0
46,RegionE,BatchInference,38
46,RegionE,AITraining,109
46,RegionF,RealTimeInference,7
46,RegionF,BatchInference,32
46,RegionF,AITraining,78
47,RegionA,RealTimeInference,11
47,RegionA,BatchInference,4
47,RegionA,AITraining,69
47,RegionB,RealTimeInference,2
47,RegionB,BatchInference,36
47,RegionB,AITraining,0
47,RegionC,RealTimeInference,0
47,RegionC,BatchInference,0
47,RegionC,AITraining,0
47,RegionD,RealTimeInference,0
47,RegionD,BatchInference,24
47,RegionD,AITraining,0
47,RegionE,RealTimeInference,0
47,RegionE,BatchInference,0
47,RegionE,AITraining,204
47,RegionF,RealTimeInference,1
47,RegionF,BatchInference,7
47,RegionF,AITraining,27
48,RegionA,RealTimeInference,4
48,RegionA,BatchInference,17
48,RegionA,AITraining,53
48,RegionB,RealTimeInference,0
48,RegionB,BatchInference,80
48,RegionB,AITraining,0
48,RegionC,RealTimeInference,0
48,RegionC,BatchInference,34
48,RegionC,AITraining,74
48,RegionD,RealTimeInference,0
48,RegionD,BatchInference,33
48,RegionD,AITraining,107
48,RegionE,RealTimeInference,0
48,RegionE,BatchInference,0
48,RegionE,AITraining,219
48,RegionF,RealTimeInference,7
48,RegionF,BatchInference,47
48,RegionF,AITraining,125
49,RegionA,RealTimeInference,5
49,RegionA,BatchInference,20
49,RegionA,AITraining,0
49,RegionB,RealTimeInference,24
49,RegionB,BatchInference,22
49,RegionB,AITraining,22
49,RegionC,RealTimeInference,5
49,RegionC,BatchInference,22
49,RegionC,AITraining,108
49,RegionD,RealTimeInference,0
49,RegionD,BatchInference,32
49,RegionD,AITraining,227
49,RegionE,RealTimeInference,0
49,RegionE,BatchInference,0
49,RegionE,AITraining,64
49,RegionF,RealTimeInference,0
49,RegionF,BatchInference,0
49,RegionF,AITraining,113
50,RegionA,RealTimeInference,0
50,RegionA,BatchInference,16
50,RegionA,AITraining,88
50,RegionB,RealTimeInference,7
50,RegionB,BatchInference,28
50,RegionB,AITraining,0
50,RegionC,RealTimeInference,3
50,RegionC,BatchInference,10
50,RegionC,AITraining,0
50,RegionD,RealTimeInference,0
